TITLE = "B00001"
VARIABLES = "x", "y", "Vx", "Vy", "isValid"
ZONE T="Frame 0", I=202, J=155, F=POINT
-24.4221844375 48.6072849929 0 -0 0
-23.4737524092 48.6072849929 0 -0 0
-22.5253203809 48.6072849929 0 -0 0
-21.5768883526 48.6072849929 0 -0 0
-20.6284563243 48.6072849929 0 -0 0
-19.680024296 48.6072849929 0 -0 0
-18.7315922678 48.6072849929 0 -0 0
-17.7831602395 48.6072849929 0 -0 0
-16.8347282112 48.6072849929 0 -0 0
-15.8862961829 48.6072849929 0 -0 0
-14.9378641546 48.6072849929 0 -0 0
-13.9894321263 48.6072849929 0 -0 0
-13.041000098 48.6072849929 0 -0 0
-12.0925680697 48.6072849929 0 -0 0
-11.1441360414 48.6072849929 0 -0 0
-10.1957040131 48.6072849929 0 -0 0
-9.2472719848 48.6072849929 0 -0 0
-8.2988399565 48.6072849929 0 -0 0
-7.3504079282 48.6072849929 0 -0 0
-6.4019758999 48.6072849929 0 -0 0
-5.4535438716 48.6072849929 0 -0 0
-4.5051118433 48.6072849929 0 -0 0
-3.5566798151 48.6072849929 0 -0 0
-2.6082477868 48.6072849929 0 -0 0
-1.6598157585 48.6072849929 0 -0 0
-0.7113837302 48.6072849929 0 -0 0
0.2370482981 48.6072849929 0 -0 0
1.1854803264 48.6072849929 0 -0 0
2.1339123547 48.6072849929 0 -0 0
3.082344383 48.6072849929 0 -0 0
4.0307764113 48.6072849929 0 -0 0
4.9792084396 48.6072849929 0 -0 0
5.9276404679 48.6072849929 0 -0 0
6.8760724962 48.6072849929 0 -0 0
7.8245045245 48.6072849929 0 -0 0
8.7729365528 48.6072849929 0 -0 0
9.7213685811 48.6072849929 0 -0 0
10.6698006094 48.6072849929 0 -0 0
11.6182326376 48.6072849929 0 -0 0
12.5666646659 48.6072849929 0 -0 0
13.5150966942 48.6072849929 0 -0 0
14.4635287225 48.6072849929 0 -0 0
15.4119607508 48.6072849929 0 -0 0
16.3603927791 48.6072849929 0 -0 0
17.3088248074 48.6072849929 0 -0 0
18.2572568357 48.6072849929 0 -0 0
19.205688864 48.6072849929 0 -0 0
20.1541208923 48.6072849929 0 -0 0
21.1025529206 48.6072849929 0 -0 0
22.0509849489 48.6072849929 0 -0 0
22.9994169772 48.6072849929 0 -0 0
23.9478490055 48.6072849929 0 -0 0
24.8962810338 48.6072849929 0 -0 0
25.844713062 48.6072849929 0 -0 0
26.7931450903 48.6072849929 0 -0 0
27.7415771186 48.6072849929 0 -0 0
28.6900091469 48.6072849929 0 -0 0
29.6384411752 48.6072849929 0 -0 0
30.5868732035 48.6072849929 0 -0 0
31.5353052318 48.6072849929 0 -0 0
32.4837372601 48.6072849929 0 -0 0
33.4321692884 48.6072849929 0 -0 0
34.3806013167 48.6072849929 0 -0 0
35.329033345 48.6072849929 0 -0 0
36.2774653733 48.6072849929 0 -0 0
37.2258974016 48.6072849929 0 -0 0
38.1743294299 48.6072849929 0 -0 0
39.1227614582 48.6072849929 0 -0 0
40.0711934865 48.6072849929 0 -0 0
41.0196255147 48.6072849929 0 -0 0
41.968057543 48.6072849929 0 -0 0
42.9164895713 48.6072849929 0 -0 0
43.8649215996 48.6072849929 0 -0 0
44.8133536279 48.6072849929 0 -0 0
45.7617856562 48.6072849929 0 -0 0
46.7102176845 48.6072849929 0 -0 0
47.6586497128 48.6072849929 0 -0 0
48.6070817411 48.6072849929 0 -0 0
49.5555137694 48.6072849929 0 -0 0
50.5039457977 48.6072849929 0 -0 0
51.452377826 48.6072849929 0 -0 0
52.4008098543 48.6072849929 0 -0 0
53.3492418826 48.6072849929 0 -0 0
54.2976739109 48.6072849929 0 -0 0
55.2461059391 48.6072849929 0 -0 0
56.1945379674 48.6072849929 0 -0 0
57.1429699957 48.6072849929 0 -0 0
58.091402024 48.6072849929 0 -0 0
59.0398340523 48.6072849929 0 -0 0
59.9882660806 48.6072849929 0 -0 0
60.9366981089 48.6072849929 0 -0 0
61.8851301372 48.6072849929 0 -0 0
62.8335621655 48.6072849929 0 -0 0
63.7819941938 48.6072849929 0 -0 0
64.7304262221 48.6072849929 0 -0 0
65.6788582504 48.6072849929 0 -0 0
66.6272902787 48.6072849929 0 -0 0
67.575722307 48.6072849929 0 -0 0
68.5241543353 48.6072849929 0 -0 0
69.4725863636 48.6072849929 0 -0 0
70.4210183918 48.6072849929 0 -0 0
71.3694504201 48.6072849929 0 -0 0
72.3178824484 48.6072849929 0 -0 0
73.2663144767 48.6072849929 0 -0 0
74.214746505 48.6072849929 0 -0 0
75.1631785333 48.6072849929 0 -0 0
76.1116105616 48.6072849929 0 -0 0
77.0600425899 48.6072849929 0 -0 0
78.0084746182 48.6072849929 0 -0 0
78.9569066465 48.6072849929 0 -0 0
79.9053386748 48.6072849929 0 -0 0
80.8537707031 48.6072849929 0 -0 0
81.8022027314 48.6072849929 0 -0 0
82.7506347597 48.6072849929 0 -0 0
83.699066788 48.6072849929 0 -0 0
84.6474988163 48.6072849929 0 -0 0
85.5959308445 48.6072849929 0 -0 0
86.5443628728 48.6072849929 0 -0 0
87.4927949011 48.6072849929 0 -0 0
88.4412269294 48.6072849929 0 -0 0
89.3896589577 48.6072849929 0 -0 0
90.338090986 48.6072849929 0 -0 0
91.2865230143 48.6072849929 0 -0 0
92.2349550426 48.6072849929 0 -0 0
93.1833870709 48.6072849929 0 -0 0
94.1318190992 48.6072849929 0 -0 0
95.0802511275 48.6072849929 0 -0 0
96.0286831558 48.6072849929 0 -0 0
96.9771151841 48.6072849929 0 -0 0
